year,date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description,wzz,wzz_add,_mtime,dateId
2020,07.16,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-16T01:36:34Z,2020-07
2020,07.17,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-17T00:41:40Z,2020-07
2020,07.18,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-18T01:31:02Z,2020-07
2020,07.19,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-19T01:01:53Z,2020-07
2020,07.20,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-20T01:56:01Z,2020-07
2020,07.21,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-21T01:18:50Z,2020-07
2020,07.22,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-22T01:04:15Z,2020-07
2020,07.23,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-23T01:05:23Z,2020-07
2020,07.24,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-24T00:46:55Z,2020-07
2020,07.25,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-25T00:45:55Z,2020-07
2020,07.26,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-26T01:18:46Z,2020-07
2020,07.27,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-27T01:26:56Z,2020-07
2020,07.28,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-28T01:13:32Z,2020-07
2020,07.29,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-29T01:56:40Z,2020-07
2020,07.30,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-30T01:22:03Z,2020-07
2020,07.31,中国,湖北,68135,4512,63623,0,,,,,0,0,0,,0,0,2020-07-31T00:44:49Z,2020-07
2020,08.01,中国,湖北,68138,4512,63623,3,,,,,3,0,0,,0,0,2020-08-01T01:09:33Z,2020-08
2020,08.02,中国,湖北,68138,4512,63623,0,,,,,0,0,0,8月1日武汉市新增境外输入病例3例,0,0,2020-08-02T01:19:59Z,2020-08
2020,08.03,中国,湖北,68138,4512,63623,0,,,,,0,0,0,8月1日武汉市新增境外输入病例3例,0,0,2020-08-03T01:19:37Z,2020-08
2020,08.04,中国,湖北,68138,4512,63623,0,,,,,0,0,0,8月1日武汉市新增境外输入病例3例,0,0,2020-08-04T01:12:21Z,2020-08
2020,08.05,中国,湖北,68138,4512,63623,0,,,,,0,0,0,8月1日武汉市新增境外输入病例3例,0,0,2020-08-05T02:56:03Z,2020-08
2020,08.06,中国,湖北,68138,4512,63623,0,,,,,0,0,0,8月1日武汉市新增境外输入病例3例,0,0,2020-08-06T00:44:37Z,2020-08
2020,08.07,中国,湖北,68139,4512,63623,1,,,,,1,0,0,湖北省累计报告境外输入病例5例,0,0,2020-08-07T02:00:00Z,2020-08
